Date,Time,PM2.5,Status
2021-01-05,01:00:00,4.976,V ugm-3 (Ref.eq)
2021-01-05,02:00:00,4.34,V ugm-3 (Ref.eq)
2021-01-05,03:00:00,3.538,V ugm-3 (Ref.eq)
2021-01-05,04:00:00,4.528,V ugm-3 (Ref.eq)
2021-01-05,05:00:00,6.887,V ugm-3 (Ref.eq)
2021-01-05,06:00:00,5.212,V ugm-3 (Ref.eq)
2021-01-05,07:00:00,4.599,V ugm-3 (Ref.eq)
2021-01-05,08:00:00,4.906,V ugm-3 (Ref.eq)
2021-01-05,09:00:00,8.019,V ugm-3 (Ref.eq)
2021-01-05,10:00:00,12.665,V ugm-3 (Ref.eq)
2021-01-05,11:00:00,6.769,V ugm-3 (Ref.eq)
2021-01-05,12:00:00,6.557,V ugm-3 (Ref.eq)
2021-01-05,13:00:00,6.509,V ugm-3 (Ref.eq)
2021-01-05,14:00:00,5.991,V ugm-3 (Ref.eq)
2021-01-05,15:00:00,5.66,V ugm-3 (Ref.eq)
2021-01-05,16:00:00,7.005,V ugm-3 (Ref.eq)
2021-01-05,17:00:00,9.599,V ugm-3 (Ref.eq)
2021-01-05,18:00:00,6.25,V ugm-3 (Ref.eq)
2021-01-05,19:00:00,6.085,V ugm-3 (Ref.eq)
2021-01-05,20:00:00,6.58,V ugm-3 (Ref.eq)
2021-01-05,21:00:00,6.792,V ugm-3 (Ref.eq)
2021-01-05,22:00:00,6.792,V ugm-3 (Ref.eq)
2021-01-05,23:00:00,7.264,V ugm-3 (Ref.eq)
2021-01-05,24:00:00,6.91,V ugm-3 (Ref.eq)
2021-01-06,01:00:00,6.297,V ugm-3 (Ref.eq)
2021-01-06,02:00:00,5.118,V ugm-3 (Ref.eq)
2021-01-06,03:00:00,4.693,V ugm-3 (Ref.eq)
2021-01-06,04:00:00,4.741,V ugm-3 (Ref.eq)
2021-01-06,05:00:00,4.646,V ugm-3 (Ref.eq)
2021-01-06,06:00:00,4.764,V ugm-3 (Ref.eq)
2021-01-06,07:00:00,4.34,V ugm-3 (Ref.eq)
2021-01-06,08:00:00,5.071,V ugm-3 (Ref.eq)
2021-01-06,09:00:00,6.014,V ugm-3 (Ref.eq)
2021-01-06,10:00:00,8.679,V ugm-3 (Ref.eq)
2021-01-06,11:00:00,10.92,V ugm-3 (Ref.eq)
2021-01-06,12:00:00,10.165,V ugm-3 (Ref.eq)
2021-01-06,13:00:00,9.859,V ugm-3 (Ref.eq)
2021-01-06,14:00:00,9.269,V ugm-3 (Ref.eq)
2021-01-06,15:00:00,9.528,V ugm-3 (Ref.eq)
2021-01-06,16:00:00,10.236,V ugm-3 (Ref.eq)
2021-01-06,17:00:00,11.038,V ugm-3 (Ref.eq)
2021-01-06,18:00:00,11.887,V ugm-3 (Ref.eq)
2021-01-06,19:00:00,17.901,V ugm-3 (Ref.eq)
2021-01-06,20:00:00,20.849,V ugm-3 (Ref.eq)
2021-01-06,21:00:00,20.071,V ugm-3 (Ref.eq)
2021-01-06,22:00:00,20.354,V ugm-3 (Ref.eq)
2021-01-06,23:00:00,19.576,V ugm-3 (Ref.eq)
2021-01-06,24:00:00,23.16,V ugm-3 (Ref.eq)
2021-01-07,01:00:00,22.076,V ugm-3 (Ref.eq)
2021-01-07,02:00:00,20.826,V ugm-3 (Ref.eq)
2021-01-07,03:00:00,21.014,V ugm-3 (Ref.eq)
2021-01-07,04:00:00,21.297,V ugm-3 (Ref.eq)
2021-01-07,05:00:00,21.651,V ugm-3 (Ref.eq)
2021-01-07,06:00:00,20.142,V ugm-3 (Ref.eq)
2021-01-07,07:00:00,20.967,V ugm-3 (Ref.eq)
2021-01-07,08:00:00,21.533,V ugm-3 (Ref.eq)
2021-01-07,09:00:00,29.104,V ugm-3 (Ref.eq)
2021-01-07,10:00:00,26.038,V ugm-3 (Ref.eq)
2021-01-07,11:00:00,25.967,V ugm-3 (Ref.eq)
2021-01-07,12:00:00,36.132,V ugm-3 (Ref.eq)
2021-01-07,13:00:00,26.486,V ugm-3 (Ref.eq)
2021-01-07,14:00:00,18.373,V ugm-3 (Ref.eq)
2021-01-07,15:00:00,11.415,V ugm-3 (Ref.eq)
2021-01-07,16:00:00,13.726,V ugm-3 (Ref.eq)
2021-01-07,17:00:00,22.807,V ugm-3 (Ref.eq)
2021-01-07,18:00:00,23.632,V ugm-3 (Ref.eq)
2021-01-07,19:00:00,23.774,V ugm-3 (Ref.eq)
2021-01-07,20:00:00,20.943,V ugm-3 (Ref.eq)
2021-01-07,21:00:00,20.731,V ugm-3 (Ref.eq)
2021-01-07,22:00:00,20.519,V ugm-3 (Ref.eq)
2021-01-07,23:00:00,20.543,V ugm-3 (Ref.eq)
2021-01-07,24:00:00,20.377,V ugm-3 (Ref.eq)
2021-01-08,01:00:00,19.576,V ugm-3 (Ref.eq)
2021-01-08,02:00:00,18.514,V ugm-3 (Ref.eq)
2021-01-08,03:00:00,22.689,V ugm-3 (Ref.eq)
2021-01-08,04:00:00,18.656,V ugm-3 (Ref.eq)
2021-01-08,05:00:00,22.311,V ugm-3 (Ref.eq)
2021-01-08,06:00:00,24.646,V ugm-3 (Ref.eq)
2021-01-08,07:00:00,20.896,V ugm-3 (Ref.eq)
2021-01-08,08:00:00,18.373,V ugm-3 (Ref.eq)
2021-01-08,09:00:00,19.646,V ugm-3 (Ref.eq)
2021-01-08,10:00:00,21.344,V ugm-3 (Ref.eq)
2021-01-08,11:00:00,16.486,V ugm-3 (Ref.eq)
2021-01-08,12:00:00,18.774,V ugm-3 (Ref.eq)
2021-01-08,13:00:00,14.528,V ugm-3 (Ref.eq)
2021-01-08,14:00:00,11.557,V ugm-3 (Ref.eq)
2021-01-08,15:00:00,9.363,V ugm-3 (Ref.eq)
2021-01-08,16:00:00,10.849,V ugm-3 (Ref.eq)
2021-01-08,17:00:00,17.5,V ugm-3 (Ref.eq)
2021-01-08,18:00:00,15.637,V ugm-3 (Ref.eq)
2021-01-08,19:00:00,13.821,V ugm-3 (Ref.eq)
2021-01-08,20:00:00,17.17,V ugm-3 (Ref.eq)
2021-01-08,21:00:00,16.745,V ugm-3 (Ref.eq)
2021-01-08,22:00:00,19.387,V ugm-3 (Ref.eq)
2021-01-08,23:00:00,27.005,V ugm-3 (Ref.eq)
2021-01-08,24:00:00,23.585,V ugm-3 (Ref.eq)
