Date,Time,PM2.5,Status
2016-01-04,08:00:00,3.6,V ugm-3 (TEOM FDMS)
2016-01-04,09:00:00,6.0,V ugm-3 (TEOM FDMS)
2016-01-04,10:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-04,11:00:00,6.4,V ugm-3 (TEOM FDMS)
2016-01-04,12:00:00,6.7,V ugm-3 (TEOM FDMS)
2016-01-04,13:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-04,14:00:00,6.7,V ugm-3 (TEOM FDMS)
2016-01-04,15:00:00,4.3,V ugm-3 (TEOM FDMS)
2016-01-04,16:00:00,7.5,V ugm-3 (TEOM FDMS)
2016-01-04,17:00:00,7.0,V ugm-3 (TEOM FDMS)
2016-01-04,18:00:00,8.7,V ugm-3 (TEOM FDMS)
2016-01-04,19:00:00,4.1,V ugm-3 (TEOM FDMS)
2016-01-04,20:00:00,4.5,V ugm-3 (TEOM FDMS)
2016-01-04,21:00:00,4.8,V ugm-3 (TEOM FDMS)
2016-01-04,22:00:00,5.3,V ugm-3 (TEOM FDMS)
2016-01-04,23:00:00,6.5,V ugm-3 (TEOM FDMS)
2016-01-04,24:00:00,4.1,V ugm-3 (TEOM FDMS)
2016-01-05,01:00:00,1.9,V ugm-3 (TEOM FDMS)
2016-01-05,02:00:00,3.2,V ugm-3 (TEOM FDMS)
2016-01-05,03:00:00,2.6,V ugm-3 (TEOM FDMS)
2016-01-05,04:00:00,1.9,V ugm-3 (TEOM FDMS)
2016-01-05,05:00:00,2.3,V ugm-3 (TEOM FDMS)
2016-01-05,06:00:00,1.6,V ugm-3 (TEOM FDMS)
2016-01-05,07:00:00,1.2,V ugm-3 (TEOM FDMS)
2016-01-05,08:00:00,3.1,V ugm-3 (TEOM FDMS)
2016-01-05,09:00:00,5.1,V ugm-3 (TEOM FDMS)
2016-01-05,10:00:00,8.8,V ugm-3 (TEOM FDMS)
2016-01-05,11:00:00,8.6,V ugm-3 (TEOM FDMS)
2016-01-05,12:00:00,8.2,V ugm-3 (TEOM FDMS)
2016-01-05,13:00:00,6.0,V ugm-3 (TEOM FDMS)
2016-01-05,14:00:00,5.8,V ugm-3 (TEOM FDMS)
2016-01-05,15:00:00,5.4,V ugm-3 (TEOM FDMS)
2016-01-05,16:00:00,10.5,V ugm-3 (TEOM FDMS)
2016-01-05,17:00:00,10.2,V ugm-3 (TEOM FDMS)
2016-01-05,18:00:00,9.9,V ugm-3 (TEOM FDMS)
2016-01-05,19:00:00,8.6,V ugm-3 (TEOM FDMS)
2016-01-05,20:00:00,11.2,V ugm-3 (TEOM FDMS)
2016-01-05,21:00:00,18.3,V ugm-3 (TEOM FDMS)
2016-01-05,22:00:00,18.5,V ugm-3 (TEOM FDMS)
2016-01-05,23:00:00,16.0,V ugm-3 (TEOM FDMS)
2016-01-05,24:00:00,11.1,V ugm-3 (TEOM FDMS)
2016-01-06,01:00:00,14.1,V ugm-3 (TEOM FDMS)
2016-01-06,02:00:00,12.2,V ugm-3 (TEOM FDMS)
2016-01-06,03:00:00,11.1,V ugm-3 (TEOM FDMS)
2016-01-06,04:00:00,14.3,V ugm-3 (TEOM FDMS)
2016-01-06,05:00:00,14.3,V ugm-3 (TEOM FDMS)
2016-01-06,06:00:00,15.8,V ugm-3 (TEOM FDMS)
2016-01-06,07:00:00,19.2,V ugm-3 (TEOM FDMS)
2016-01-06,08:00:00,23.5,V ugm-3 (TEOM FDMS)
2016-01-06,09:00:00,24.6,V ugm-3 (TEOM FDMS)
2016-01-06,10:00:00,23.2,V ugm-3 (TEOM FDMS)
2016-01-06,11:00:00,23.9,V ugm-3 (TEOM FDMS)
2016-01-06,12:00:00,24.9,V ugm-3 (TEOM FDMS)
2016-01-06,13:00:00,26.5,V ugm-3 (TEOM FDMS)
2016-01-06,14:00:00,23.0,V ugm-3 (TEOM FDMS)
2016-01-06,15:00:00,24.3,V ugm-3 (TEOM FDMS)
2016-01-06,16:00:00,23.1,V ugm-3 (TEOM FDMS)
2016-01-06,17:00:00,22.6,V ugm-3 (TEOM FDMS)
2016-01-06,18:00:00,24.8,V ugm-3 (TEOM FDMS)
2016-01-06,19:00:00,25.9,V ugm-3 (TEOM FDMS)
2016-01-06,20:00:00,29.3,V ugm-3 (TEOM FDMS)
2016-01-06,21:00:00,27.9,V ugm-3 (TEOM FDMS)
2016-01-06,22:00:00,29.0,V ugm-3 (TEOM FDMS)
2016-01-06,23:00:00,27.3,V ugm-3 (TEOM FDMS)
2016-01-06,24:00:00,21.1,V ugm-3 (TEOM FDMS)
2016-01-07,01:00:00,18.2,V ugm-3 (TEOM FDMS)
2016-01-07,02:00:00,5.9,V ugm-3 (TEOM FDMS)
2016-01-07,03:00:00,2.0,V ugm-3 (TEOM FDMS)
2016-01-07,04:00:00,3.4,V ugm-3 (TEOM FDMS)
2016-01-07,05:00:00,1.9,V ugm-3 (TEOM FDMS)
2016-01-07,06:00:00,0.9,V ugm-3 (TEOM FDMS)
2016-01-07,07:00:00,0.3,V ugm-3 (TEOM FDMS)
2016-01-07,08:00:00,-0.2,V ugm-3 (TEOM FDMS)
2016-01-07,09:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-07,10:00:00,7.9,V ugm-3 (TEOM FDMS)
2016-01-07,11:00:00,3.2,V ugm-3 (TEOM FDMS)
2016-01-07,12:00:00,2.7,V ugm-3 (TEOM FDMS)
2016-01-07,13:00:00,-0.3,V ugm-3 (TEOM FDMS)
2016-01-07,14:00:00,2.0,V ugm-3 (TEOM FDMS)
2016-01-07,15:00:00,2.6,V ugm-3 (TEOM FDMS)
2016-01-07,16:00:00,0.1,V ugm-3 (TEOM FDMS)
2016-01-07,17:00:00,3.0,V ugm-3 (TEOM FDMS)
2016-01-07,18:00:00,4.8,V ugm-3 (TEOM FDMS)
2016-01-07,19:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-07,20:00:00,4.4,V ugm-3 (TEOM FDMS)
2016-01-07,21:00:00,3.9,V ugm-3 (TEOM FDMS)
2016-01-07,22:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-07,23:00:00,3.1,V ugm-3 (TEOM FDMS)
2016-01-07,24:00:00,8.4,V ugm-3 (TEOM FDMS)
2016-01-08,01:00:00,7.4,V ugm-3 (TEOM FDMS)
2016-01-08,02:00:00,,V ugm-3 (TEOM FDMS)
2016-01-08,03:00:00,,V ugm-3 (TEOM FDMS)
2016-01-08,04:00:00,,V ugm-3 (TEOM FDMS)
2016-01-08,05:00:00,,V ugm-3 (TEOM FDMS)
2016-01-08,06:00:00,6.0,V ugm-3 (TEOM FDMS)
2016-01-08,07:00:00,4.2,V ugm-3 (TEOM FDMS)
2016-01-08,08:00:00,8.3,V ugm-3 (TEOM FDMS)
2016-01-08,09:00:00,9.0,V ugm-3 (TEOM FDMS)
2016-01-08,10:00:00,9.4,V ugm-3 (TEOM FDMS)
2016-01-08,11:00:00,7.1,V ugm-3 (TEOM FDMS)
2016-01-08,12:00:00,8.7,V ugm-3 (TEOM FDMS)
2016-01-08,13:00:00,12.1,V ugm-3 (TEOM FDMS)
2016-01-08,14:00:00,8.8,V ugm-3 (TEOM FDMS)
2016-01-08,15:00:00,9.3,V ugm-3 (TEOM FDMS)
2016-01-08,16:00:00,6.2,V ugm-3 (TEOM FDMS)
2016-01-08,17:00:00,8.8,V ugm-3 (TEOM FDMS)
2016-01-08,18:00:00,9.1,V ugm-3 (TEOM FDMS)
2016-01-08,19:00:00,8.9,V ugm-3 (TEOM FDMS)
2016-01-08,20:00:00,10.8,V ugm-3 (TEOM FDMS)
2016-01-08,21:00:00,10.5,V ugm-3 (TEOM FDMS)
2016-01-08,22:00:00,8.9,V ugm-3 (TEOM FDMS)
2016-01-08,23:00:00,8.8,V ugm-3 (TEOM FDMS)
2016-01-08,24:00:00,8.1,V ugm-3 (TEOM FDMS)
2016-01-09,01:00:00,2.6,V ugm-3 (TEOM FDMS)
2016-01-09,02:00:00,4.2,V ugm-3 (TEOM FDMS)
2016-01-09,03:00:00,1.8,V ugm-3 (TEOM FDMS)
2016-01-09,04:00:00,0.1,V ugm-3 (TEOM FDMS)
2016-01-09,05:00:00,3.5,V ugm-3 (TEOM FDMS)
2016-01-09,06:00:00,3.8,V ugm-3 (TEOM FDMS)
2016-01-09,07:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-09,08:00:00,4.0,V ugm-3 (TEOM FDMS)
2016-01-09,09:00:00,1.4,V ugm-3 (TEOM FDMS)
2016-01-09,10:00:00,3.6,V ugm-3 (TEOM FDMS)
2016-01-09,11:00:00,8.4,V ugm-3 (TEOM FDMS)
2016-01-09,12:00:00,8.7,V ugm-3 (TEOM FDMS)
2016-01-09,13:00:00,4.5,V ugm-3 (TEOM FDMS)
2016-01-09,14:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-09,15:00:00,4.9,V ugm-3 (TEOM FDMS)
2016-01-09,16:00:00,4.7,V ugm-3 (TEOM FDMS)
2016-01-09,17:00:00,5.9,V ugm-3 (TEOM FDMS)
2016-01-09,18:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-09,19:00:00,5.4,V ugm-3 (TEOM FDMS)
2016-01-09,20:00:00,6.4,V ugm-3 (TEOM FDMS)
2016-01-09,21:00:00,2.6,V ugm-3 (TEOM FDMS)
2016-01-09,22:00:00,1.4,V ugm-3 (TEOM FDMS)
2016-01-09,23:00:00,2.5,V ugm-3 (TEOM FDMS)
2016-01-09,24:00:00,3.7,V ugm-3 (TEOM FDMS)
2016-01-10,01:00:00,0.8,V ugm-3 (TEOM FDMS)
2016-01-10,02:00:00,3.4,V ugm-3 (TEOM FDMS)
2016-01-10,03:00:00,1.7,V ugm-3 (TEOM FDMS)
2016-01-10,04:00:00,0.3,V ugm-3 (TEOM FDMS)
2016-01-10,05:00:00,5.3,V ugm-3 (TEOM FDMS)
2016-01-10,06:00:00,4.7,V ugm-3 (TEOM FDMS)
2016-01-10,07:00:00,2.9,V ugm-3 (TEOM FDMS)
2016-01-10,08:00:00,0.6,V ugm-3 (TEOM FDMS)
2016-01-10,09:00:00,3.2,V ugm-3 (TEOM FDMS)
2016-01-10,10:00:00,1.4,V ugm-3 (TEOM FDMS)
2016-01-10,11:00:00,5.8,V ugm-3 (TEOM FDMS)
2016-01-10,12:00:00,3.2,V ugm-3 (TEOM FDMS)
2016-01-10,13:00:00,4.9,V ugm-3 (TEOM FDMS)
2016-01-10,14:00:00,2.0,V ugm-3 (TEOM FDMS)
2016-01-10,15:00:00,3.6,V ugm-3 (TEOM FDMS)
2016-01-10,16:00:00,1.3,V ugm-3 (TEOM FDMS)
2016-01-10,17:00:00,,V ugm-3 (TEOM FDMS)
2016-01-10,18:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-10,19:00:00,5.7,V ugm-3 (TEOM FDMS)
2016-01-10,20:00:00,8.0,V ugm-3 (TEOM FDMS)
2016-01-10,21:00:00,6.1,V ugm-3 (TEOM FDMS)
2016-01-10,22:00:00,8.9,V ugm-3 (TEOM FDMS)
2016-01-10,23:00:00,10.0,V ugm-3 (TEOM FDMS)
2016-01-10,24:00:00,2.8,V ugm-3 (TEOM FDMS)
