station_id,model,horizon,MAE_available_history,RMSE_available_history,sMAPE_available_history,R2_available_history,Bias_available_history,MAE_common_2021,RMSE_common_2021,sMAPE_common_2021,R2_common_2021,Bias_common_2021,MAE_delta_common_minus_available,RMSE_delta_common_minus_available,sMAPE_delta_common_minus_available,R2_delta_common_minus_available,Bias_delta_common_minus_available
BIR_A4540,dlinear,1,1.173062341271452,2.138893586530515,15.702217274109307,0.9073606265026782,0.01465052634215272,1.172967712322648,2.1385967029184534,15.700152078966179,0.9073862600669935,0.014359300408378541,-9.462894880396533e-05,-0.0002968836120618157,-0.0020651951431283067,2.5633564315286073e-05,-0.00029122593377417863
BIR_A4540,dlinear,6,3.038105110009344,4.718774536625192,37.19862419755728,0.5490993548386086,-0.22106706439877644,3.0379114065979502,4.718562654578872,37.195840832597774,0.5491397186736098,-0.22106986041704962,-0.00019370341139390845,-0.0002118820463197224,-0.0027833649595052634,4.0363835001167025e-05,-2.7960182731878724e-06
BIR_A4540,dlinear,12,3.6302279987527064,5.577286386704759,43.02906899029926,0.3701985196802618,-0.38751276002370777,3.6301196106764317,5.57705871224386,43.02750868411998,0.37025006415521045,-0.3874922463532093,-0.00010838807627466807,-0.00022767446089844157,-0.0015603061792788253,5.154447494865044e-05,2.0513670498489844e-05
BIR_A4540,dlinear,24,4.016341513388809,6.185383891985618,46.467052876624194,0.22542099067724886,-0.5423763778018016,4.015474313946076,6.184724206627788,46.45506801951275,0.22558620210457372,-0.5426652448904647,-0.0008671994427338348,-0.0006596853578297868,-0.011984857111443148,0.00016521142732486838,-0.00028886708866315836
BIR_A4540,dlinear,48,4.341230196369914,6.693950805155373,50.46703944688612,0.09379637049048409,-0.8003341476247904,4.340702486307049,6.693245525103464,50.45949108565977,0.09398743475159597,-0.8009014445101721,-0.0005277100628644504,-0.0007052800519087299,-0.007548361226348277,0.0001910642611118868,-0.0005672968853817073
BIR_A4540,hybrid,1,1.694732663295521,2.861921512820612,22.00851549212651,0.8330010611097075,0.123370975166083,1.677970234758582,2.842463288375394,21.51772720460761,0.8361422257810471,0.18937207767144015,-0.01676242853693899,-0.01945822444521772,-0.4907882875188996,0.0031411646713396246,0.06600110250535715
BIR_A4540,hybrid,6,3.8098978214036414,5.967731969066416,44.54817714249775,0.2787981248992633,-0.9389413191013075,3.7820448052291247,5.882616286573688,44.44986184079697,0.2985247534214512,-0.7908371658497664,-0.027853016174516743,-0.08511568249272816,-0.0983153017007794,0.019726628522187872,0.14810415325154114
BIR_A4540,hybrid,12,4.092485868075144,6.389769337384088,47.25001820467016,0.17316319304896552,-1.0239690164459228,4.093686563927298,6.4049385529163345,47.192584940979934,0.16929533866078766,-0.983677427850769,0.0012006958521535438,0.015169215532246483,-0.05743326369022839,-0.003867854388177855,0.040291588595153804
BIR_A4540,hybrid,24,4.241533750160326,6.66652843106786,48.73782396733166,0.09997696377519352,-1.261676615540615,4.260697078073556,6.703475056832045,48.844671536072816,0.0901214270449586,-1.2024609322803408,0.019163327913229722,0.03694662576418484,0.1068475687411592,-0.009855536730234926,0.059215683260274155
BIR_A4540,hybrid,48,4.321385128537814,6.834212392180651,49.757621592075864,0.055260855780727355,-1.4048113915846716,4.344675244530556,6.8655386464144,49.943070382617854,0.046676890231762955,-1.3954299960411114,0.02329011599274189,0.03132625423374957,0.18544879054199015,-0.0085839655489644,0.009381395543560211
BIR_A4540,hybrid_static,1,1.7737872844549307,2.903071912897495,23.445210128409933,0.8280253469760946,0.334440037447202,1.7596816507984663,2.8976545881099143,22.875106601298945,0.8295213684006825,0.3874769264723169,-0.014105633656464445,-0.005417324787580835,-0.5701035271109873,0.0014960214245878234,0.053036889025114886
BIR_A4540,hybrid_static,6,3.855543991706303,6.01272585400068,45.20338254084932,0.2678147144264283,-0.8318755508704252,3.8375652012008965,5.919197512394503,45.183820609862146,0.2898059986603251,-0.6127091892410842,-0.017978790505406295,-0.09352834160617629,-0.01956193098717307,0.02199128423389679,0.219166361629341
BIR_A4540,hybrid_static,12,4.1389686402909955,6.42435608015072,47.94062947654332,0.16414382349066242,-0.8817629716301983,4.156115489104153,6.449085555175069,48.093590236192625,0.15784195470978335,-0.8352687995100148,0.017146848813157867,0.024729475024348524,0.15296075964930367,-0.006301868780879072,0.046494172120183586
BIR_A4540,hybrid_static,24,4.2559410587249165,6.6914364750924005,49.03986207402037,0.09307343268427101,-1.2023236460145077,4.2925552630849815,6.734632325922865,49.42446864535785,0.08169518146143237,-1.1226787244117435,0.03661420436006502,0.04319585083046462,0.38460657133747844,-0.011378251222838642,0.07964492160276415
BIR_A4540,hybrid_static,48,4.3158541335540095,6.845509354317242,49.95726873359247,0.05195218359896784,-1.3449497976457812,4.340542870616025,6.878071307381491,50.158240526572435,0.04320338091993312,-1.3496978952871301,0.024688737062015242,0.03256195306424914,0.20097179297996348,-0.008748802679034717,-0.004748097641348981
BIR_A4540,lstm,1,1.454157296989699,2.4493279538909762,19.886320063718465,0.8784689624787223,-0.07482544260854485,1.4517816871244458,2.453176935301218,19.856348804275807,0.8780524132470123,-0.07042163756858191,-0.002375609865253203,0.003848981410241592,-0.029971259442657328,-0.0004165492317099728,0.0044038050399629325
BIR_A4540,lstm,6,3.019834068310988,4.80539278899729,36.58179200821608,0.5323900581529728,-0.3719902099191079,3.02466321756389,4.814610155154286,36.63185116518014,0.5305729782260562,-0.3946394792340985,0.00482914925290201,0.009217366156995865,0.05005915696406049,-0.0018170799269165983,-0.02264926931499056
BIR_A4540,lstm,12,3.607429982153363,5.698789762081735,42.18767693336042,0.34241797734704155,-0.4350372818513312,3.6097439501235775,5.691175978246046,42.29412697874706,0.3441625847811939,-0.4950420602135749,0.0023139679702146587,-0.007613783835688892,0.10645004538663727,0.0017446074341523343,-0.06000477836224366
BIR_A4540,lstm,24,3.999729321591624,6.247184484810697,46.05047451262171,0.20985838536149454,-0.7111178684296838,4.008983285700391,6.248572842261359,46.291472916411266,0.20948552701879475,-0.6993866302959271,0.00925396410876722,0.0013883574506614593,0.24099840378955406,-0.0003728583426997889,0.01173123813375676
