horizon,mean_diff,ci_low,ci_high,station_id,seed
1,-0.9473327557878363,-1.1018434541923978,-0.8063446704249215,MY1,0
6,-0.14688654744049937,-0.22257127907403518,-0.08732866388949853,MY1,0
12,-0.051489977820342765,-0.09799619599305325,-0.007845973978323074,MY1,0
24,-0.05313305168739659,-0.1024937752264955,-0.003073996253278893,MY1,0
48,-0.01366696669183574,-0.07075704904154868,0.0425326632847874,MY1,0
1,-1.0427947197506144,-1.2283119510620268,-0.8670463002500368,MY1,1
6,-0.37490916797580615,-0.4797815099877224,-0.2647735040802833,MY1,1
12,-0.18028675339005518,-0.2519123562166808,-0.10657493892486326,MY1,1
24,-0.12304322105107571,-0.21853815173348115,-0.0336512755975776,MY1,1
48,-0.009569379811633994,-0.11859499299871633,0.09261394508417936,MY1,1
1,-0.8138753118125048,-0.967800093536284,-0.6613368714087411,MY1,2
6,-0.1711826377317032,-0.23591675685906996,-0.11077185373789848,MY1,2
12,-0.03597161033062678,-0.08723346041791107,0.011782607454611934,MY1,2
24,0.03768508539463458,-0.010178414551194632,0.08458050283956013,MY1,2
48,0.03251760271880303,-0.01576043834518448,0.08104122965455232,MY1,2
1,-0.6896763539418509,-0.8379388568589107,-0.5355144753645883,MY1,3
6,-0.022516346541326067,-0.05408436966900316,0.011848610725404095,MY1,3
12,-0.08633819398076942,-0.1337816049560891,-0.03991132673987927,MY1,3
24,0.060952205581282844,0.0007905215301188847,0.1263886195314783,MY1,3
48,0.035558835531874326,-0.0162824096463795,0.08688834947583941,MY1,3
1,-0.7004421129413473,-0.8405608747594554,-0.5720815879683804,MY1,4
6,-0.16481175088427752,-0.22867160809095605,-0.10360580860321485,MY1,4
12,-0.07311756744277535,-0.13089779161502607,-0.015365236906694975,MY1,4
24,0.006847285832919607,-0.041361368740846526,0.056850104545802804,MY1,4
48,-0.07787142784206731,-0.14014536500221222,-0.01023020233417623,MY1,4
1,-1.9419816761163806,-2.1628483213942418,-1.7382962172835834,BIR_A4540,0
6,-0.07003046237664838,-0.10607974660050193,-0.03237081198942207,BIR_A4540,0
12,-0.011234630572782628,-0.049900938193582524,0.027309950471633638,BIR_A4540,0
24,0.012395830812371713,-0.03402857471791986,0.05789330964392811,BIR_A4540,0
48,0.017589097979023464,-0.0410897172160171,0.07549023322381858,BIR_A4540,0
1,-1.9790028978772525,-2.1986587830881015,-1.7598365374232043,BIR_A4540,1
6,-0.11883906219943201,-0.1712426440675494,-0.06782197851502553,BIR_A4540,1
12,-0.04000034961459491,-0.0860633278513735,0.006387141672463218,BIR_A4540,1
24,-0.01619762468527011,-0.06297229499629725,0.03268175611446643,BIR_A4540,1
48,0.03699396173505809,-0.013635370108282833,0.08981376410165667,BIR_A4540,1
1,-1.9315227986265104,-2.1682087263198087,-1.7195466911724564,BIR_A4540,2
6,-0.01747233771321161,-0.05645962110510676,0.023455295130484756,BIR_A4540,2
12,-0.07959521654517408,-0.12235689838533917,-0.035848916425122425,BIR_A4540,2
24,-0.04163427463784577,-0.09818735540894283,0.012895333185438425,BIR_A4540,2
48,-0.03402252295614777,-0.0988514958680685,0.029626819394417046,BIR_A4540,2
1,-2.056644807583609,-2.3017279880017276,-1.8604515637372123,BIR_A4540,3
6,-0.09594134143966603,-0.13480656766305274,-0.05765537918206168,BIR_A4540,3
12,-0.022329405373165072,-0.05907457795670643,0.014774648441670164,BIR_A4540,3
24,-0.03344449909561871,-0.08008212872095853,0.0151866864722005,BIR_A4540,3
48,-0.006114493203901942,-0.057110824815604096,0.048774138864176884,BIR_A4540,3
1,-1.597682222318228,-1.7938096684208253,-1.4318482930025718,BIR_A4540,4
6,-0.14684450101525612,-0.2021159474155344,-0.09291598053739422,BIR_A4540,4
12,-0.07925425921266292,-0.11918541870272602,-0.038173986937655224,BIR_A4540,4
24,0.0068440292246210515,-0.03982649632194728,0.0531049741520424,BIR_A4540,4
48,0.013208934789346892,-0.04356806549254188,0.07365916279698569,BIR_A4540,4
1,-1.8773383207737306,-2.0867141433883893,-1.6663928582902716,HP1,0
6,-0.13859351052862673,-0.18351576197631575,-0.09194269579148237,HP1,0
12,-0.005843197097525707,-0.056860603381519735,0.04484346545852038,HP1,0
24,-0.1233191287860941,-0.1899235710804279,-0.04589030934522115,HP1,0
48,0.011181924815005467,-0.04799741507360891,0.06888928023426287,HP1,0
1,-2.020802169030355,-2.264675818606507,-1.7984030012196905,HP1,1
6,-0.0577727084299013,-0.11657790829600241,-0.0042748167481345516,HP1,1
12,-0.005944950826373468,-0.055911696332629615,0.04583206337524577,HP1,1
24,-0.00045184936362806894,-0.06277265008606549,0.07142349110371096,HP1,1
48,-0.030630044598957094,-0.08940473416363923,0.02990207495866493,HP1,1
1,-1.8049264334449573,-2.0043346919860294,-1.5981268419083827,HP1,2
6,-0.09168085546245713,-0.12834281483799603,-0.05375697459951033,HP1,2
12,-0.031799836476690026,-0.07639082785980529,0.015242800196896318,HP1,2
24,-0.030229413259746263,-0.09021992924044571,0.027902196554271064,HP1,2
48,-0.04921162173420473,-0.10628154255936623,0.015205630711113395,HP1,2
1,-1.7361136015887675,-1.9490238885656104,-1.5234417623349747,HP1,3
6,-0.15067017630182197,-0.19699086256662401,-0.10137334685665302,HP1,3
12,-0.09022679686255,-0.14476014252718222,-0.03588096097661176,HP1,3
24,-0.11947571564362852,-0.18951277760357357,-0.049614473040615496,HP1,3
48,-0.011719306884880907,-0.07324446981274953,0.05694353439350138,HP1,3
1,-1.4605797167471386,-1.7062791912034112,-1.2519588552565977,HP1,4
6,-0.13733336419991793,-0.20840971933296648,-0.07244336506354279,HP1,4
12,-0.06915934197772883,-0.13386676816465481,0.004570154790633438,HP1,4
24,-0.003751387386976783,-0.06415690315979043,0.06365271142133065,HP1,4
48,0.008785504552560927,-0.051831326739811744,0.07478253541043316,HP1,4
