station_id,site_type,horizon,hybrid_mae,best_comparator,comparator_mae,mae_delta,improvement_percent,hybrid_wins
BIR_A4540,Urban Traffic,1,1.677970234758582,persistence,1.1615791446959813,0.5163910900626008,-44.45595398475884,False
BIR_A4540,Urban Traffic,6,3.7820448052291247,lstm,3.02466321756389,0.7573815876652348,-25.04019565772488,False
BIR_A4540,Urban Traffic,12,4.093686563927298,lstm,3.6097439501235775,0.48394261380372017,-13.40656347071799,False
BIR_A4540,Urban Traffic,24,4.260697078073556,lstm,4.008983285700391,0.25171379237316494,-6.278743871819091,False
BIR_A4540,Urban Traffic,48,4.344675244530556,lstm,4.292137708391943,0.05253753613861356,-1.2240412518893027,False
CHB,Rural Background,1,1.7075310803783954,persistence,0.9907997817944422,0.7167312985839532,-72.33866132730448,False
CHB,Rural Background,6,3.4148335510833783,dlinear,2.625198411992088,0.7896351390912901,-30.07906509024926,False
CHB,Rural Background,12,3.561698348354443,lstm,3.0959420397587616,0.4657563085956813,-15.044090057705777,False
CHB,Rural Background,24,3.688605711281043,lstm,3.449818116665753,0.23878759461528976,-6.921744467098973,False
CHB,Rural Background,48,3.7303848261265875,lstm,3.6756179639495996,0.054766862176987896,-1.490004203759487,False
HP1,Urban Background,1,1.4888916102048462,xgboost,0.855412998137288,0.6334786120675582,-74.05529416164998,False
HP1,Urban Background,6,3.442584426546464,dlinear,2.579975340284606,0.8626090862618581,-33.43478027843091,False
HP1,Urban Background,12,3.5654096356142366,dlinear,3.1428935741834816,0.42251606143075504,-13.44353702910618,False
HP1,Urban Background,24,3.7222108115609096,lstm,3.4505164955896026,0.271694315971307,-7.874018753962849,False
HP1,Urban Background,48,3.691879915186546,lstm,3.5749261974617683,0.11695371772477747,-3.271500200698289,False
KC1,Urban Background,1,1.7081297614449653,dlinear,0.9662234568884809,0.7419063045564844,-76.78413303539922,False
KC1,Urban Background,6,3.9362419691074515,lstm,2.9234597140946454,1.012782255012806,-34.64327728307522,False
KC1,Urban Background,12,4.1911699799358475,lstm,3.5572891196907683,0.6338808602450792,-17.819211172247417,False
KC1,Urban Background,24,4.352084996648123,lstm,3.993972016478577,0.35811298016954574,-8.966336736762827,False
KC1,Urban Background,48,4.404077631963711,lstm,4.302670307617709,0.10140732434600164,-2.3568462628071676,False
MY1,Urban Traffic,1,3.9791673522511957,xgboost,2.875449462621609,1.1037178896295865,-38.38418668027304,False
MY1,Urban Traffic,6,4.850700427712431,lstm,4.172315527171611,0.67838490054082,-16.259194591658638,False
MY1,Urban Traffic,12,5.029688766617825,dlinear,4.599201145130641,0.43048762148718467,-9.360052059105074,False
MY1,Urban Traffic,24,5.164846435062085,lstm,4.853174639029897,0.3116717960321882,-6.422018971369397,False
MY1,Urban Traffic,48,5.211163953070033,lstm,5.183450561375086,0.02771339169494702,-0.534651413509288,False
