,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,1,1.173062341271452,0.010737292483171778,2.1388935865305148,0.005463359632036335,15.702217274109307,0.24264727489135346,0.9073606265026782,0.00047325339382547557
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,6,3.038105110009344,0.04690689158873775,4.718774536625192,0.03905220858419942,37.19862419755728,0.692447574426835,0.5490993548386086,0.007503892413828559
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,12,3.6302279987527064,0.022546245561691276,5.577286386704759,0.02745509454320247,43.02906899029926,0.2673138381658741,0.37019851968026185,0.00620647789383683
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,24,4.0163415133888085,0.015193232951897834,6.185383891985618,0.007596014080796029,46.467052876624194,0.24971356734221642,0.22542099067724886,0.0019018492929989707
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,48,4.341230196369914,0.02958230432087736,6.693950805155373,0.027267508017541124,50.46703944688612,0.4750443211555685,0.09379637049048413,0.007380116432171005
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,1,1.694732663295521,0.15757479170251565,2.861921512820612,0.2656527705013372,22.00851549212651,1.7209330659474202,0.8330010611097075,0.03251761241904317
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,6,3.8098978214036414,0.040700586443640295,5.967731969066416,0.06373084879296144,44.54817714249775,0.48648705998288994,0.27879812489926337,0.015406185031907483
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,12,4.092485868075144,0.05125618218228297,6.389769337384088,0.10845018152946202,47.25001820467016,0.3222413298303483,0.1731631930489656,0.028201841404200623
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,24,4.241533750160326,0.033478874996108896,6.66652843106786,0.12507129303835757,48.73782396733165,0.14075064552753522,0.09997696377519358,0.033694674413614206
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,48,4.321385128537814,0.021255789642895487,6.834212392180651,0.10368786591059187,49.757621592075864,0.12125569581927309,0.05526085578072741,0.028612645408437443
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,1,1.7737872844549312,0.20662885208444803,2.903071912897495,0.2849238696636918,23.445210128409933,2.576032803094509,0.8280253469760946,0.03537418626036123
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,6,3.855543991706303,0.05024635734166245,6.01272585400068,0.09100545797805161,45.20338254084932,0.7131897987532445,0.26781471442642835,0.02220773161230341
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,12,4.1389686402909955,0.07084190681773557,6.42435608015072,0.12087629088464741,47.940629476543315,0.6539820196388351,0.16414382349066248,0.031431629776911794
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,24,4.2559410587249165,0.029075561520870728,6.6914364750924005,0.16117430932768934,49.03986207402037,0.3332103876837566,0.09307343268427107,0.043166326850872946
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,48,4.3158541335540095,0.032709322004639815,6.845509354317242,0.14860794489030577,49.95726873359247,0.4260739758860031,0.051952183598967874,0.0407770693069493
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,1,1.454157296989699,0.03588181162881345,2.4493279538909762,0.0554983891690459,19.88632006371846,0.5868500835811713,0.8784689624787223,0.005427913827159173
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,6,3.019834068310988,0.033868912671618207,4.80539278899729,0.04263192834749443,36.58179200821608,0.42013461222863563,0.5323900581529728,0.00829033376445597
