horizon,n,MAE,RMSE,sMAPE,R2,Bias,variant,station_id,seed
1,11065,3.827639601899617,5.435656561651522,37.21010955408983,0.5569125487582035,-0.396252019984683,robust_rolling_hybrid,MY1,0
6,11065,4.674417706686276,6.982509269130853,42.91709034216836,0.2690884405888629,-1.082710913276587,robust_rolling_hybrid,MY1,0
12,11065,4.879497308456459,7.42273054650748,44.24811783962107,0.1730722739527533,-1.026027197881668,robust_rolling_hybrid,MY1,0
24,11065,5.033937260674701,7.614125487690427,45.208623345926334,0.1277237266059169,-0.751606064781955,robust_rolling_hybrid,MY1,0
48,11065,5.138766223888792,7.816045314108732,46.021527871812616,0.0810174087702745,-0.8476978208187741,robust_rolling_hybrid,MY1,0
1,11065,3.9223697326946088,5.4898564506774505,38.21118791273978,0.5480322890290917,-0.1457339362946237,gated_static_hybrid,MY1,0
6,11065,4.743441211386767,7.044451186692809,43.577335607982114,0.2560630724392155,-1.0126131164868708,gated_static_hybrid,MY1,0
12,11065,4.930987285282942,7.469955628813256,44.77966519019137,0.1625166010435852,-0.88380155858819,gated_static_hybrid,MY1,0
24,11065,5.087070314061625,7.584546211676791,45.84183836801945,0.1344877822757179,-0.4198111539963301,gated_static_hybrid,MY1,0
48,11065,5.152433190793405,7.762306617804175,46.316644047089625,0.0936107735791584,-0.5902215975552623,gated_static_hybrid,MY1,0
1,11065,3.867172692425909,5.399642523582644,38.01950041536863,0.5627644657232689,-0.2853646536326979,ungated_static_hybrid,MY1,0
6,11065,5.091549432560485,7.106454984616269,47.439427881786735,0.2429094814881705,-0.5620543083264393,ungated_static_hybrid,MY1,0
12,11065,5.416750014014121,7.769499184456573,48.84062226241961,0.0940041390927491,-0.5002320794487128,ungated_static_hybrid,MY1,0
24,11065,5.371151113227326,7.932486110519259,48.67477739161569,0.0532558288764425,-1.2026700717558216,ungated_static_hybrid,MY1,0
48,11065,5.5818289694692345,8.280582989856665,52.744855691219314,-0.0314661389654917,-2.3386220926862467,ungated_static_hybrid,MY1,0
1,11065,4.774972357770947,6.789939876445293,43.93608393353817,0.3086192400218449,0.2731582177234784,timemixer_base,MY1,0
6,11065,4.821304253606951,7.29538132548085,43.92128503867394,0.2021196254793128,-1.1627993835160704,timemixer_base,MY1,0
12,11065,4.930987285282942,7.469955628813256,44.77966519019137,0.1625166010435852,-0.88380155858819,timemixer_base,MY1,0
24,11065,5.087070314061625,7.584546211676791,45.84183836801945,0.1344877822757179,-0.4198111539963301,timemixer_base,MY1,0
48,11065,5.152433190793405,7.762306617804175,46.316644047089625,0.0936107735791584,-0.5902215975552623,timemixer_base,MY1,0
1,11065,3.649633505219956,5.1056921643106365,36.08543116284219,0.6090738834759876,0.0934041947920937,no_embedding,MY1,0
6,11065,4.748708692695347,7.143121782173441,43.47521174606942,0.2350766869511066,-1.1399776585011585,no_embedding,MY1,0
12,11065,4.887153974868461,7.381951825904796,44.48320876364164,0.1821332055738709,-0.8549196128262366,no_embedding,MY1,0
24,11065,5.087070314061625,7.584546211676791,45.84183836801945,0.1344877822757179,-0.4198111539963301,no_embedding,MY1,0
48,11065,5.152433190793405,7.762306617804175,46.316644047089625,0.0936107735791584,-0.5902215975552623,no_embedding,MY1,0
1,11065,4.765328614648737,6.881796310431085,43.62363263709904,0.289786275720502,-0.3662289994015071,no_context,MY1,0
6,11065,4.856696233963245,7.32422581722929,44.21547406408826,0.1957978308685113,-1.1439252031463547,no_context,MY1,0
12,11065,4.930987285282942,7.469955628813256,44.77966519019137,0.1625166010435852,-0.88380155858819,no_context,MY1,0
24,11065,5.058308902987516,7.646443667451865,45.593723851578616,0.1203032530315154,-0.803324298994928,no_context,MY1,0
48,11065,5.152433190793405,7.762306617804175,46.316644047089625,0.0936107735791584,-0.5902215975552623,no_context,MY1,0
1,11065,4.784726141851734,6.779566177548618,44.05835564542912,0.3107302151164931,0.2720900578876991,base_only,MY1,0
6,11065,4.868616180659633,7.294236710111219,44.39724562171618,0.2023699741465606,-1.0176593740779352,base_only,MY1,0
12,11065,4.930987285282942,7.469955628813256,44.77966519019137,0.1625166010435852,-0.88380155858819,base_only,MY1,0
24,11065,5.142781392468407,7.633232421722054,46.51658284948406,0.1233404427261647,-0.5716752170358262,base_only,MY1,0
48,11065,5.161075166435841,7.77140604376749,46.471531040934345,0.0914844840015128,-0.6287315033643537,base_only,MY1,0
1,11065,3.841718604331041,5.488765519481443,37.23663669557462,0.5482118990751823,-0.0714499611726496,robust_rolling_hybrid,MY1,1
6,11065,4.804429745940443,6.980585105569896,43.84839678904938,0.2694912183168814,-0.1883933610204524,robust_rolling_hybrid,MY1,1
12,11065,5.148403886554836,7.775577430326435,45.86078311026706,0.0925860246072663,-0.6158988334046877,robust_rolling_hybrid,MY1,1
24,11065,5.320235504258852,8.073429892319675,46.79443610922947,0.0193135925458514,-0.4262996519072557,robust_rolling_hybrid,MY1,1
48,11065,5.371738736575459,8.349971533456895,47.43937998833426,-0.0488252567460474,-1.1642030889702222,robust_rolling_hybrid,MY1,1
1,11065,3.9570984436008008,5.536278399744234,38.38489890427962,0.5403563396394457,0.3110967410645008,gated_static_hybrid,MY1,1
6,11065,5.067738275580744,7.130046173265709,46.09083803451019,0.2378745347608165,0.3941216877451645,gated_static_hybrid,MY1,1
12,11065,5.328690640330045,7.9142893730761505,47.57011579988435,0.0599217307638669,-0.3279838149842772,gated_static_hybrid,MY1,1
24,11065,5.460970330122526,8.092974873787586,48.23798094117546,0.0145595538706219,-0.0183091064599429,gated_static_hybrid,MY1,1
48,11065,5.283413772229097,8.271780883639515,46.99727536070975,-0.02927444567971,-1.3259313439143172,gated_static_hybrid,MY1,1
1,11065,3.823670684055026,5.30409546066817,37.62104884067792,0.578101388938306,0.4484070478361546,ungated_static_hybrid,MY1,1
6,11065,5.27265426626423,7.202016939314826,48.00043798419729,0.2224110765222594,0.6711896943523503,ungated_static_hybrid,MY1,1
12,11065,6.428368765939914,8.65597317953475,55.344805311897375,-0.1245323846909602,1.3228719442153591,ungated_static_hybrid,MY1,1
24,11065,5.678844563149243,8.328015496335068,50.167807619481,-0.0435110409334162,-0.1849166528191762,ungated_static_hybrid,MY1,1
48,11065,5.558751369608079,8.573169521902878,50.99811177891692,-0.1056456712825899,-2.053513338339043,ungated_static_hybrid,MY1,1
1,11065,4.884513324811564,7.100147556293979,44.63346359599693,0.2440028104339847,-0.1008341756305487,timemixer_base,MY1,1
6,11065,5.179338914085932,7.495525906273409,46.46852950279707,0.1577403265612565,0.1170536885232447,timemixer_base,MY1,1
12,11065,5.328690640330045,7.9142893730761505,47.57011579988435,0.0599217307638669,-0.3279838149842772,timemixer_base,MY1,1
24,11065,5.443278724509992,8.07560284394493,47.91177088932927,0.0187856209335455,0.1482984392205568,timemixer_base,MY1,1
48,11065,5.3813081163628524,8.257417940463455,47.53274866854914,-0.0257031287444422,-0.5983493499205331,timemixer_base,MY1,1
