station_id,site_type,horizon,hybrid_mae,best_comparator,comparator_mae,mae_delta,improvement_percent,hybrid_wins
BIR_A4540,Urban Traffic,1,3.178952333831075,persistence,1.1615791446959813,2.0173731891350934,-173.6750524789336,False
BIR_A4540,Urban Traffic,6,4.152955378782002,lstm,3.0331370128935777,1.119818365888424,-36.91947845178712,False
BIR_A4540,Urban Traffic,12,4.800679166223655,lstm,3.623541040726333,1.177138125497322,-32.48585050554213,False
BIR_A4540,Urban Traffic,24,4.766899072516226,lstm,4.012158232329279,0.7547408401869475,-18.8113428355187,False
BIR_A4540,Urban Traffic,48,5.04009559970269,lstm,4.301717773978098,0.7383778257245925,-17.164720340120386,False
CHB,Rural Background,1,3.1807149451949193,xgboost,0.9796906018760876,2.2010243433188315,-224.66525034576372,False
CHB,Rural Background,6,4.268148133141613,dlinear,2.615927610838584,1.6522205223030295,-63.16002459155893,False
CHB,Rural Background,12,4.8808419011165896,dlinear,3.1144335349912646,1.766408366125325,-56.71684260650884,False
CHB,Rural Background,24,4.900480272880379,lstm,3.4710964466688843,1.4293838262114944,-41.17960558495096,False
CHB,Rural Background,48,4.725223649502023,lstm,3.7141961324367316,1.011027517065291,-27.220628125580358,False
HP1,Urban Background,1,3.139417589085396,xgboost,0.8191986345133497,2.320218954572046,-283.23032495658236,False
HP1,Urban Background,6,3.670378333814326,dlinear,2.553696185462039,1.1166821483522869,-43.72807363340468,False
HP1,Urban Background,12,4.1600943992146755,dlinear,3.1136470827649996,1.046447316449676,-33.60841125001243,False
HP1,Urban Background,24,4.523403582582947,dlinear,3.5053402282046093,1.018063354378338,-29.04321087541842,False
HP1,Urban Background,48,4.750823497699384,dlinear,3.7408020724765576,1.0100214252228268,-27.00013006981022,False
KC1,Urban Background,1,3.3552182098855363,xgboost,0.9112873583673281,2.4439308515182083,-268.18443480844286,False
KC1,Urban Background,6,4.037616002084214,lstm,2.8198593192481445,1.217756682836069,-43.185015455336895,False
KC1,Urban Background,12,4.578553414840387,lstm,3.477699598933981,1.1008538159064063,-31.65465517044229,False
KC1,Urban Background,24,4.849378863942543,lstm,4.006462331974058,0.842916531968485,-21.0389231727324,False
KC1,Urban Background,48,5.014154049644327,lstm,4.320734428280726,0.693419621363601,-16.048651748298294,False
MY1,Urban Traffic,1,4.740286000476338,xgboost,2.7911482120556794,1.9491377884206589,-69.83283008769784,False
MY1,Urban Traffic,6,5.226908205930823,lstm,4.054269006819515,1.172639199111308,-28.92356666858714,False
MY1,Urban Traffic,12,5.438800264282941,lstm,4.481215855496209,0.9575844087867322,-21.36885255398388,False
MY1,Urban Traffic,24,5.499105979924613,lstm,4.841657052410172,0.6574489275144408,-13.579006534284858,False
MY1,Urban Traffic,48,5.575580606154583,lstm,5.1479342439877085,0.42764636216687446,-8.307145000275096,False
