horizon,n,MAE,RMSE,sMAPE,R2,Bias,variant,station_id,seed
1,11065,4.805591261953212,6.653779766173571,44.55486559413893,0.336070025364813,0.2673794940775356,robust_rolling_hybrid,MY1,0
6,11065,5.3534247742472,7.4647697274713,48.03402486862483,0.1646381860175196,0.6846964296079797,robust_rolling_hybrid,MY1,0
12,11065,5.44954000153205,7.791787451779937,49.04195525004079,0.0887986448183879,0.0806932985305324,robust_rolling_hybrid,MY1,0
24,11065,5.283358136843365,7.779843722051523,47.49723051272552,0.0893410806276255,-0.6491178148483454,robust_rolling_hybrid,MY1,0
48,11065,5.581851133630328,8.059727806953486,49.54316380657412,0.0228215126657711,-0.0405933191282197,robust_rolling_hybrid,MY1,0
1,11065,5.157587999611811,6.902995795926431,47.16073813401827,0.2854038862257529,1.031631037812399,robust_static_hybrid,MY1,0
6,11065,5.972611744800845,7.895076869972905,52.24461897865043,0.0655533439036533,1.9230545292787296,robust_static_hybrid,MY1,0
12,11065,5.930625055515545,8.108337068532412,52.30176174848281,0.0132576882020172,1.0268560777327835,robust_static_hybrid,MY1,0
24,11065,5.462436068286952,7.909629603287247,49.079715136930034,0.0587038282097819,-0.3420671779566419,robust_static_hybrid,MY1,0
48,11065,5.868436589025018,8.194539808180508,51.70165899527435,-0.0101416678467598,0.6368815355019714,robust_static_hybrid,MY1,0
1,11065,4.84589971142606,6.806548530185447,44.39367033161496,0.305232774799739,0.7331591677003138,timemixer_base,MY1,0
6,11065,4.831546326323004,7.218103372431551,43.95762386042016,0.2189335501674016,-0.7892218800324743,timemixer_base,MY1,0
12,11065,4.962260291932451,7.4208224428676095,44.96116740593989,0.1734973630731261,-0.6065754479134832,timemixer_base,MY1,0
24,11065,5.168452326849042,7.646224083862309,46.30539765395664,0.1203537769624367,-0.199575414350008,timemixer_base,MY1,0
48,11065,5.231545920505063,7.808500362789046,46.78096675901024,0.0827907690928843,-0.2853152218874472,timemixer_base,MY1,0
1,11065,4.85386698604492,6.648561764033823,45.57674354956973,0.3371109463857401,-0.2392962827463792,no_embedding,MY1,0
6,11065,5.478071164134073,7.680538998934357,49.76174828497247,0.1156479519681814,-0.5736212310481815,no_embedding,MY1,0
12,11065,5.482101711467871,7.937974850545927,49.79515554025017,0.0542864752945025,-1.1162663806066544,no_embedding,MY1,0
24,11065,5.781644383629037,8.313308959218274,52.18680095245134,-0.0398287990737247,-1.1647359237404793,no_embedding,MY1,0
48,11065,5.954169357321244,8.613244252160808,52.93515748315119,-0.1160063693722623,-0.7984394965993835,no_embedding,MY1,0
1,11065,5.54673428343423,7.660765455987307,48.92407280170243,0.1199045730302111,0.8154281024931784,no_context,MY1,0
6,11065,6.036439011700812,8.091012052986622,52.44667178835338,0.018596765899453,1.6269968526884813,no_context,MY1,0
12,11065,5.982932627430018,8.162394728163981,52.56117788526186,5.675940770499821e-05,0.938531738201849,no_context,MY1,0
24,11065,5.540895622710108,7.990948290093348,49.57490543263607,0.0392494540318555,-0.2700387687339429,no_context,MY1,0
48,11065,5.744646979452957,8.105432027357848,50.98106494741592,0.0117075366369497,0.3660719269252825,no_context,MY1,0
1,11065,5.617034930249334,7.907642406481404,50.65671646027873,0.0622664038798589,-0.3558430766095093,base_only,MY1,0
6,11065,6.284195003623182,8.658273817206185,54.74877909145432,-0.1238398329414676,0.004308271965612,base_only,MY1,0
12,11065,5.740893344428278,8.351819056971317,51.30492186484454,-0.04689304877393,-1.0417891388207714,base_only,MY1,0
24,11065,5.994608255535351,8.567695890374873,53.14534401893436,-0.1044398923982838,-0.615327540299928,base_only,MY1,0
48,11065,5.867299383318484,8.467730001183408,52.37746235838392,-0.0786167268048021,-0.5574978547052081,base_only,MY1,0
1,11065,4.86210413743546,6.8081166037097125,44.8751864390635,0.3049126208837575,0.4426411520631326,robust_rolling_hybrid,MY1,1
6,11065,5.325692902629309,7.524993423110634,47.628722783613874,0.1511048781437103,0.5585180958863935,robust_rolling_hybrid,MY1,1
12,11065,5.578388056312359,7.873135901042585,49.26370106869595,0.0696729282544522,0.619656149505417,robust_rolling_hybrid,MY1,1
24,11065,5.808615861311255,8.222162497144234,50.83480101926537,-0.017152592896479,0.5893105202894612,robust_rolling_hybrid,MY1,1
48,11065,5.55958468311997,8.136351029711406,48.94729204141805,0.0041532697363957,0.2272929060028976,robust_rolling_hybrid,MY1,1
1,11065,5.180906382285251,7.006466256287049,47.331734596727976,0.2638208694849289,1.195883327016882,robust_static_hybrid,MY1,1
6,11065,5.918968213372138,7.905578589753749,51.78679558842452,0.0630657624083965,1.7337282292157667,robust_static_hybrid,MY1,1
12,11065,6.155589637956197,8.211874976039436,53.15451930180269,-0.0121032516196395,1.88461637636735,robust_static_hybrid,MY1,1
24,11065,6.422281751940275,8.618015698175954,54.69704146496387,-0.1174511864546627,1.8647809559734383,robust_static_hybrid,MY1,1
48,11065,5.853517058762392,8.177426307768119,51.36693915069112,-0.005926907999143,1.0989302784918231,robust_static_hybrid,MY1,1
1,11065,4.838754400210956,7.420513890419059,44.21588336050007,0.1742408456182477,-1.279596942205317,timemixer_base,MY1,1
6,11065,5.076028723892883,7.671251511919775,45.63426572723772,0.1177854171229397,-0.6840121368585105,timemixer_base,MY1,1
12,11065,5.2651748046770495,7.931388431004548,47.02793952052038,0.0558552083785072,-0.3537937116283558,timemixer_base,MY1,1
24,11065,5.342402374262299,7.96771579861849,47.64192107912467,0.0448278112200778,-0.3711458857572299,timemixer_base,MY1,1
48,11065,5.438152464856619,7.84408162496058,48.609979487285045,0.0744127666192535,0.1169747304954089,timemixer_base,MY1,1
1,11065,4.62405879390062,6.544689435699908,42.93209371118344,0.3576621437635346,0.4427574320422326,no_embedding,MY1,1
6,11065,4.985545885102328,7.336634442869393,45.95346938067453,0.1930705810267221,-1.303448281137856,no_embedding,MY1,1
12,11065,5.276980614368592,8.023950117133184,47.82284202197236,0.0336897129070515,-1.5903937772690735,no_embedding,MY1,1
24,11065,5.315096022021,7.912087889448018,48.126503682163744,0.0581186339450091,-0.9513393602514504,no_embedding,MY1,1
48,11065,5.541680490456175,8.189087832944653,50.15658083476841,-0.0087979840171628,-1.147272076557731,no_embedding,MY1,1
1,11065,5.420387054251913,7.480663244544601,48.27639719948765,0.1607996785914021,1.2349475631523177,no_context,MY1,1
6,11065,6.1847073815470095,8.18241004370935,53.48509092328868,-0.0037007933269821,1.9695825796320168,no_context,MY1,1
12,11065,6.305869646604062,8.299442378098313,54.13935873148538,-0.0338034824116832,2.0186145382745204,no_context,MY1,1
24,11065,6.571919759837309,8.719374881495309,55.61981899929557,-0.1438911489687142,2.079522786674271,no_context,MY1,1
48,11065,5.724547935940807,8.050249011560176,50.61533425941851,0.0251186195933121,0.7993296131282923,no_context,MY1,1
1,11065,5.043964277774136,7.302501760403258,45.823114182559216,0.2002969121842005,-0.43200140236677,base_only,MY1,1
