horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
1,11065,2.78978227382594,3.985192568663154,29.118408849722805,0.7618316456650464,-0.023820325138339402,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,4.175328214964175,5.905806780118755,39.61942884805419,0.47712213561688654,0.2518029387887118,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,4.855768077186584,6.920174684948775,44.04429592652785,0.28125592503965213,0.5971330651076627,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,5.196133042413403,7.4416600465727,45.98369103677041,0.16679157579213388,0.6285244300443018,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,5.675339355888379,8.42628119111107,48.71961924466407,-0.06808309844056826,0.4652454279231853,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
1,11065,2.918196664756636,4.213512891413432,31.009779582092605,0.7337595208289126,0.011313342377442448,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,4.242286967237342,5.961321930952062,40.289496205278965,0.4672457289166294,0.09510135505999907,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,4.630086608971076,6.6535798458022954,42.59856814829888,0.33556743682123,0.02249509026386918,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,4.9497934356271225,7.163535567467117,44.6032318526101,0.22790837371339812,0.06797699281601575,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,5.2867944488334695,7.661588774511615,47.57168208075564,0.11697942421387508,0.12615567134668856,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
1,11065,2.870015628530168,4.065277259207993,30.084873647450856,0.7521632111367375,0.007544962483404774,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,3.9990261438336785,5.721214714610273,38.403792609504464,0.5092974866164669,-0.24268731590692028,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,4.455489834150576,6.459209256420677,41.29890844043151,0.37382046237792477,-0.04679159131515527,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,4.792847901728161,7.143189606200886,43.34755338739211,0.23228795354629073,-0.26342866135516213,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,5.118382022866177,7.670588949552848,45.75873552919231,0.11490361254961945,-0.47310851677424004,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
1,11065,4.84589971142606,6.806548530185447,44.39367033161496,0.305232774799739,0.7331591677003138,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,4.831546326323004,7.218103372431551,43.95762386042016,0.21893355016740168,-0.7892218800324743,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,4.962260291932451,7.4208224428676095,44.96116740593989,0.17349736307312613,-0.6065754479134832,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,5.168452326849042,7.646224083862309,46.30539765395664,0.12035377696243676,-0.19957541435000803,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,5.231545920505063,7.808500362789046,46.78096675901024,0.0827907690928843,-0.2853152218874472,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
