,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,12,3.623541040726333,0.04092757782136071,5.700916055675913,0.07739334830994365,42.41069279183519,0.3011857275024668,0.3418836418348827,0.01798194965809102
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,24,4.012158232329279,0.04909786896953631,6.259832783116548,0.024251486640865134,46.20457975590095,0.6206734689208558,0.20665413833308516,0.00614464106500493
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,48,4.301717773978098,0.059434033343768525,6.747329216527389,0.040252061700517046,49.43392055649616,0.43374901394547916,0.07927239152126238,0.010957421671327633
BIR_A4540,Birmingham A4540,Urban Traffic,persistence,1,1.1615791446959813,0.0,2.163357941846154,0.0,15.093612887592112,0.0,0.9052298101597248,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,persistence,6,3.2574119979146827,0.0,5.175586593991806,0.0,39.963864383110106,0.0,0.45760239238990197,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,persistence,12,4.0314821844189055,0.0,6.333517800739433,0.0,47.8532287131713,0.0,0.18784418569827754,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,persistence,24,4.587366153006243,0.0,7.258923747851346,0.0,51.83608500591347,0.0,-0.066783648621624,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,persistence,48,5.340546375042134,0.0,8.314134239471462,0.0,58.212275861880606,0.0,-0.39794171404523526,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,seasonal_naive,1,4.589352948878742,0.0,7.2592945826853965,0.0,51.856325428783165,0.0,-0.06709682314297982,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,seasonal_naive,6,4.591278476713026,0.0,7.260269872482448,0.0,51.88309669396129,0.0,-0.06734331706704921,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,seasonal_naive,12,4.588722155209725,0.0,7.259239288976512,0.0,51.855039512212194,0.0,-0.0669193500123153,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,seasonal_naive,24,4.587366153006243,0.0,7.258923747851346,0.0,51.83608500591347,0.0,-0.066783648621624,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,seasonal_naive,48,5.340546375042134,0.0,8.314134239471462,0.0,58.212275861880606,0.0,-0.39794171404523526,0.0
BIR_A4540,Birmingham A4540,Urban Traffic,timemixer,1,3.6151835290485983,0.051123136541259884,5.79379470588029,0.07872090760927944,42.23119466940406,0.708861175169732,0.3201621717505333,0.01845736860830178
BIR_A4540,Birmingham A4540,Urban Traffic,timemixer,6,3.9286313018393386,0.05202641458367281,6.159018063815784,0.09457778868484734,45.700386547496485,0.7218512113495873,0.23174838447095364,0.02343605021262568
BIR_A4540,Birmingham A4540,Urban Traffic,timemixer,12,4.162069668948227,0.08527252700458543,6.4698885508040265,0.09986828791311624,48.12411912657845,0.8180330875509476,0.15233209436950784,0.026121347657239707
BIR_A4540,Birmingham A4540,Urban Traffic,timemixer,24,4.28464034242432,0.05905250065234167,6.747299047207171,0.06442432080822719,49.303876594987415,0.6652393943603532,0.0782280817456265,0.017562978201277207
BIR_A4540,Birmingham A4540,Urban Traffic,timemixer,48,4.341075712697774,0.08459032847879644,6.877819994358428,0.06584648080544361,50.16170213985856,0.946315538375041,0.04327206728464259,0.01834188595648661
BIR_A4540,Birmingham A4540,Urban Traffic,xgboost,1,1.205409975171953,0.00827920301886758,2.1475469797514095,0.01165834126767414,15.946258599155025,0.10179519685701402,0.9066078074187448,0.0010112688867147618
BIR_A4540,Birmingham A4540,Urban Traffic,xgboost,6,3.2377287246012343,0.005869923835310541,4.885681430745227,0.009594646302085364,39.21568176859283,0.04426329527378163,0.5166627823185712,0.001898388358390437
BIR_A4540,Birmingham A4540,Urban Traffic,xgboost,12,3.897386066730384,0.014385816939670388,5.771097136780148,0.006504028820834703,45.56599519555531,0.1871502760107417,0.3256791681430034,0.0015199251035736537
BIR_A4540,Birmingham A4540,Urban Traffic,xgboost,24,4.265379251336219,0.010882185833073063,6.371612538463533,0.007247922357092378,49.051868034491136,0.13998136643660097,0.17807716251087424,0.0018691338263230747
