horizon,mean_diff,ci_low,ci_high,station_id,seed
1,-0.04030844919542904,-0.21246128171154857,0.13353117313937066,MY1,0
6,0.5218784480938798,0.36052072917851613,0.6679518240185472,MY1,0
12,0.48727970946762234,0.37208673332094133,0.614054971723,MY1,0
24,0.11490581109053112,-0.020790470066078516,0.25851662136748527,MY1,0
48,0.3503052116789171,0.1700480630230619,0.5134732749607228,MY1,0
1,0.023349734916271694,-0.2014172671141277,0.2398485682405014,MY1,1
6,0.2496641767083056,0.11654929536860328,0.40293874595346624,MY1,1
12,0.3132132511801268,0.1416424951518686,0.4815275614727119,MY1,1
24,0.46621348715399835,0.28288203785948074,0.6573060789401151,MY1,1
48,0.12143221759269793,-0.038313469331460966,0.29162096535753146,MY1,1
1,-0.029338329962536592,-0.2050978162573391,0.14617793799082085,MY1,2
6,0.2991106358118474,0.1059450663602427,0.47414923536453474,MY1,2
12,0.5108586496667804,0.36030294812670843,0.6765597806200998,MY1,2
24,0.41148485094314197,0.25320842827455525,0.5627164921772367,MY1,2
48,0.4080494047226308,0.2614603391690304,0.5557707604841896,MY1,2
1,0.20353567405697648,0.07649410998621814,0.34199392088032987,MY1,3
6,0.3511409970089409,0.24199674459031162,0.47241747276485113,MY1,3
12,0.32788865480828533,0.2201719502286859,0.45072501315296865,MY1,3
24,0.3661233894002895,0.26017180105355453,0.487127175194968,MY1,3
48,0.6270959264586686,0.4200059811956639,0.818032865159297,MY1,3
1,0.16354766706994528,0.002583890415650044,0.3297480446116887,MY1,4
6,0.10953388855115993,0.0031627552491432687,0.2235048930599624,MY1,4
12,0.3393347210885484,0.22487112400410844,0.46285231459854975,MY1,4
24,0.5217355077199971,0.37637576464026884,0.6726089572564246,MY1,4
48,0.28815913648513536,0.14725682443213142,0.4180927849421098,MY1,4
1,-0.4758556143041242,-0.664375146227452,-0.31167810094936876,BIR_A4540,0
6,-0.0897025465924861,-0.20340673464321365,0.029201975924498608,BIR_A4540,0
12,0.753893200630755,0.5869910990212407,0.911313685864128,BIR_A4540,0
24,0.5332718165679556,0.36409514884903976,0.6839344060709208,BIR_A4540,0
48,0.9166906952555812,0.7121525324987125,1.1296488249149534,BIR_A4540,0
1,-0.682197904659201,-0.9001918938349046,-0.48268607136475844,BIR_A4540,1
6,0.005107251962371638,-0.1674061424387974,0.16629666929664183,BIR_A4540,1
12,0.3756096997928401,0.2052047264292891,0.5469082309505786,BIR_A4540,1
24,0.2415893277010784,0.07162308554348781,0.41996614568384166,BIR_A4540,1
48,0.7818390803980373,0.5899911009723524,0.973811657751066,BIR_A4540,1
1,-0.4400100461677001,-0.6746263047147771,-0.2251434453367859,BIR_A4540,2
6,0.2252020453815392,0.05683499908643794,0.4096068426872873,BIR_A4540,2
12,0.5311179323054936,0.3429517052508634,0.7436583917257931,BIR_A4540,2
24,0.6938650983054181,0.4823508888674496,0.9092495426725639,BIR_A4540,2
48,0.554765350121643,0.4077683713194859,0.7094468325743164,BIR_A4540,2
1,-0.3773731318975404,-0.6057423129277907,-0.15328431523226085,BIR_A4540,3
6,0.5036641479765006,0.2533474642378735,0.7260371921170002,BIR_A4540,3
12,0.8430445322763436,0.6217264629551459,1.0681098573107506,BIR_A4540,3
24,0.44073802362605624,0.24952084223571872,0.6484372427893613,BIR_A4540,3
48,0.3219959185058099,0.1292025089393679,0.5080101243560604,BIR_A4540,3
1,-0.20571927540718107,-0.4346027043619787,-0.010105569015173798,BIR_A4540,4
6,0.4773494805180338,0.27515570047565013,0.6752351448191297,BIR_A4540,4
12,0.6893821196653305,0.44755925070377384,0.9483972321747852,BIR_A4540,4
24,0.5018293879573247,0.33171664197978296,0.6791392945915227,BIR_A4540,4
48,0.9198083962851612,0.6995018244763775,1.1454325672603318,BIR_A4540,4
1,0.14139691455658843,-0.07830876136376279,0.32588718722718885,HP1,0
6,0.012787031445017787,-0.15823007022104224,0.16288594621974817,HP1,0
12,0.2810547954322395,0.09348374663723028,0.480673383646461,HP1,0
24,0.5940883790709701,0.441617107451733,0.7599463243306118,HP1,0
48,1.2839434568424841,1.077428025129076,1.502257409594951,HP1,0
1,-0.15444752756810812,-0.40614472822501535,0.06859559341469056,HP1,1
6,0.17984052613874502,-0.05245343128715875,0.41110855111688593,HP1,1
12,0.5919869170845536,0.39143546207620566,0.7996544882616546,HP1,1
24,1.0762233422003382,0.8310197533197577,1.3557878086210453,HP1,1
48,0.7184104626246742,0.5219396520213945,0.8958709543674916,HP1,1
1,-0.18654523854595992,-0.40171763562795115,0.016572024561394328,HP1,2
6,0.05069167232532637,-0.1304967976458728,0.2164747085476809,HP1,2
12,0.2325437741590145,0.07537162191938375,0.39156645502156806,HP1,2
24,0.3004671848732609,0.16940486658169437,0.4376914331097301,HP1,2
48,1.2314230231829617,1.0107988871682216,1.4744999540343229,HP1,2
1,0.13069246163464673,-0.08449031199186714,0.3345545908387898,HP1,3
6,0.44760439221177095,0.2535096456878635,0.6206262025227762,HP1,3
12,0.6460397113861549,0.4520377007986018,0.862693908990087,HP1,3
24,0.6609317609804461,0.4545738396092044,0.8825729769188421,HP1,3
48,0.3549722029470787,0.1500458490046707,0.5418543894238583,HP1,3
1,-0.4112083131293604,-0.6165176316040106,-0.22200024000598792,HP1,4
6,-0.23822546874848707,-0.4100677715892212,-0.07408878203604338,HP1,4
12,0.08303244121731103,-0.08297186629189748,0.2644744786433058,HP1,4
24,0.1731802420122776,0.013413688843927823,0.3631714511410764,HP1,4
48,0.10215514699124069,-0.09590026475195906,0.288100482000825,HP1,4
1,0.17974276491032296,0.035758984264686454,0.3182161555584246,CHB,0
6,0.8831378732353428,0.735214098016691,1.0294107492428985,CHB,0
12,2.0615725431875043,1.8315263453393442,2.2787180433205085,CHB,0
24,0.8745260017103739,0.6805462605008442,1.0470958994957407,CHB,0
48,0.7144811729669357,0.5616335089626053,0.8799982329695004,CHB,0
1,-0.16917001494403036,-0.2761826878291596,-0.06843154319734178,CHB,1
6,0.3834109742467691,0.25078688179799685,0.5116625202993049,CHB,1
12,0.4365592387158173,0.29445333483648756,0.574697950110033,CHB,1
24,0.6992137690397097,0.49684679292049383,0.8989042030804715,CHB,1
48,0.5801770512432061,0.3609374699645564,0.7976355812630767,CHB,1
1,0.05043275564097851,-0.07315015531216927,0.17890897805468553,CHB,2
6,0.7125030157260797,0.5654259363790322,0.8585121362120764,CHB,2
12,1.5453456421324694,1.344516844914292,1.7476003296774274,CHB,2
24,0.8549154876881078,0.6893384036694317,1.0294577912786687,CHB,2
48,0.5448565819906741,0.37846856827555375,0.6982163451074085,CHB,2
1,-0.015154381503921257,-0.14022277336137495,0.0995243711607213,CHB,3
6,0.8315965844159025,0.6659607476089112,1.0000107633302386,CHB,3
12,1.150469031138211,0.9633649009522572,1.343055493748245,CHB,3
24,1.6458509358269866,1.3759655940999536,1.8755199932049569,CHB,3
48,0.7797012556301925,0.6373874927555739,0.9162830842442462,CHB,3
1,0.003760402807013669,-0.11751284791747216,0.12211558605934238,CHB,4
6,1.281601098030716,1.1235043221640388,1.4649314919921168,CHB,4
12,1.225480902716229,1.0608124028146504,1.4142960401269713,CHB,4
24,1.3860389787676097,1.164733837795086,1.6008685062841244,CHB,4
48,1.6175551259827758,1.3535237666477993,1.8775035186414561,CHB,4
1,-0.05618405714789546,-0.21109495906225006,0.09376650024932175,KC1,0
6,0.1623110211763906,0.017192933634236175,0.3257190887519116,KC1,0
12,0.17028012315712635,-0.021475809540262847,0.3711641213140495,KC1,0
24,0.12683654483391157,-0.06133789724949556,0.3199321646642025,KC1,0
48,0.43505347510682923,0.20888431012093678,0.6506954966077125,KC1,0
1,0.2575901767788939,0.035298981882907844,0.4717796698185671,KC1,1
6,0.20240044216707992,0.00566742874539676,0.3972097303604541,KC1,1
12,0.2840374702497385,0.09003620800774598,0.4531468929768102,KC1,1
24,0.3140652604960533,0.10856363983527607,0.5287608515606458,KC1,1
48,0.5196824034425456,0.31472206747909287,0.7340435835782947,KC1,1
1,-0.2657335384791815,-0.5461628371368099,-0.017728388523210504,KC1,2
6,0.21253802338982383,-0.04464805817205614,0.466985357904563,KC1,2
12,0.6092733446245638,0.38863253413530613,0.8499210562505811,KC1,2
24,0.4805033822406204,0.2721789370186205,0.6924760029676442,KC1,2
48,0.0927973521858101,-0.0659675071799141,0.2519320958553906,KC1,2
1,-0.05765931295154011,-0.23459562212727317,0.09602469962797418,KC1,3
6,0.16578120354814913,-0.021271390015261998,0.3389177925781437,KC1,3
12,0.6197535461585204,0.39416373271724026,0.872773522583126,KC1,3
24,0.32825432665868803,0.15710411152665152,0.5027601897649544,KC1,3
48,0.49909141153724756,0.28624835917818453,0.6932798652165589,KC1,3
1,-0.15216536133271744,-0.2927868372888737,-0.0023630832211879436,KC1,4
6,0.2537994456219664,0.10938592022849328,0.39546645774125305,KC1,4
12,0.3809134869319709,0.20422468146431996,0.5627984362302618,KC1,4
24,0.7605686773739911,0.5515397477326321,0.9888012013677342,KC1,4
48,0.6223286274676203,0.40715697384257354,0.8272899889705644,KC1,4
