horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start,method_version
48,11065,5.366570007639988,8.084293943247113,47.238276640513945,0.01685553341963697,-0.3197998874961541,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,2.889230287530225,4.08801639852814,30.03390033114192,0.74938290550494,0.08791808463360355,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.417207636983482,6.199870881494484,41.471197046845944,0.42375512153377637,0.41257620475920304,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.016934022392237,7.091445329912014,45.34586814415303,0.24523860068469983,0.4653458458424907,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.251317438923607,7.447649417013561,47.29108196164758,0.16544983157957804,0.1366854370717705,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.635990520324634,8.284461346177524,49.288693441778534,-0.03243257576152092,0.05709359176924904,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,2.9110843268417956,4.149924190217585,30.716438253771273,0.7417348787180926,-0.0378772891839058,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.183795717984801,5.932858811002532,39.92172957990092,0.47232099510628056,-0.28442761755021945,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,4.630658002743827,6.739584051374835,42.68132949922456,0.3182795052526056,-0.49703479602064315,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,4.912887921548245,7.2388022345214535,44.421427282112774,0.21159853458857802,-0.6312488935810379,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.183311292371543,7.7565706162545185,46.90220915140653,0.09494984180440069,-0.8940219747955531,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,3.265476051259784,4.485344685299541,33.719066866675206,0.698298771891109,0.8312621022450455,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.29204217423102,6.009208704136322,40.57923970071647,0.45865221540014756,0.5745945211858486,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,4.65246050548241,6.648170997438273,42.94817391421039,0.33664726281508706,0.1293579744285337,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,4.803816849321895,7.047420378260487,43.80087208562322,0.25273549275388196,-0.48956180179329195,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.211260626079591,7.5784621496353415,47.01325594239289,0.13603665147219723,-0.1617763975035051,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,4.713700478999689,7.014649497195848,43.13267690535205,0.26210021629630065,-0.29595944906487703,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.942604965930388,7.244078769846193,44.73898686277598,0.21330187215554075,-0.15059835123520224,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.040579159699895,7.516213955819402,45.49128240958915,0.1521121127142988,-0.5924032597239073,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.061065902116877,7.701269521339684,45.686935392647264,0.1076429798094225,-1.192123706236825,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.195392323248644,7.726465644365456,46.92331549112064,0.10196160925704467,-0.49681781602293673,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,3.9754280938674733,5.415251336192137,39.226660869804434,0.5602329678870704,0.5845606131375617,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.844328872450757,7.003352607767085,44.361337759746306,0.2647182708254897,-0.03928145478873893,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.0977589446039575,7.519441378811196,46.0356641578074,0.1513837991256104,-0.30510909329859087,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.072460814429741,7.628620008385324,45.844935515211255,0.1243995732109775,-0.7428090752181132,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.195392323248644,7.726465644365456,46.92331549112064,0.10196160925704467,-0.49681781602293673,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
