gap_id,start,end,hours,gap_class,inserted_rows
583,2020-12-27 01:00:00+00:00,2020-12-27 22:00:00+00:00,22,medium_4_24h,0
651,2021-11-24 13:00:00+00:00,2021-11-25 10:00:00+00:00,22,medium_4_24h,0
349,2019-06-10 20:00:00+00:00,2019-06-11 16:00:00+00:00,21,medium_4_24h,0
383,2019-09-04 06:00:00+00:00,2019-09-05 02:00:00+00:00,21,medium_4_24h,0
175,2018-06-25 20:00:00+00:00,2018-06-26 14:00:00+00:00,19,medium_4_24h,0
191,2018-08-09 14:00:00+00:00,2018-08-10 06:00:00+00:00,17,medium_4_24h,0
733,2023-01-10 01:00:00+00:00,2023-01-10 17:00:00+00:00,17,medium_4_24h,0
143,2018-03-07 02:00:00+00:00,2018-03-07 16:00:00+00:00,15,medium_4_24h,0
333,2019-06-01 20:00:00+00:00,2019-06-02 10:00:00+00:00,15,medium_4_24h,0
695,2022-08-08 19:00:00+00:00,2022-08-09 09:00:00+00:00,15,medium_4_24h,0
155,2018-04-09 01:00:00+00:00,2018-04-09 14:00:00+00:00,14,medium_4_24h,0
811,2023-11-07 23:00:00+00:00,2023-11-08 11:00:00+00:00,13,medium_4_24h,0
199,2018-09-12 07:00:00+00:00,2018-09-12 18:00:00+00:00,12,medium_4_24h,0
367,2019-07-27 09:00:00+00:00,2019-07-27 20:00:00+00:00,12,medium_4_24h,0
715,2022-10-25 02:00:00+00:00,2022-10-25 13:00:00+00:00,12,medium_4_24h,0
15,2016-03-09 11:00:00+00:00,2016-03-09 21:00:00+00:00,11,medium_4_24h,0
585,2021-01-04 08:00:00+00:00,2021-01-04 18:00:00+00:00,11,medium_4_24h,0
1105,2025-09-16 08:00:00+00:00,2025-09-16 18:00:00+00:00,11,medium_4_24h,0
1109,2025-09-17 23:00:00+00:00,2025-09-18 08:00:00+00:00,10,medium_4_24h,0
415,2019-10-13 05:00:00+00:00,2019-10-13 13:00:00+00:00,9,medium_4_24h,0
253,2019-03-07 09:00:00+00:00,2019-03-07 16:00:00+00:00,8,medium_4_24h,0
407,2019-10-06 06:00:00+00:00,2019-10-06 13:00:00+00:00,8,medium_4_24h,0
49,2016-09-14 12:00:00+00:00,2016-09-14 18:00:00+00:00,7,medium_4_24h,0
57,2016-11-02 11:00:00+00:00,2016-11-02 17:00:00+00:00,7,medium_4_24h,0
59,2016-11-20 08:00:00+00:00,2016-11-20 14:00:00+00:00,7,medium_4_24h,0
101,2017-10-11 09:00:00+00:00,2017-10-11 15:00:00+00:00,7,medium_4_24h,0
31,2016-06-20 11:00:00+00:00,2016-06-20 16:00:00+00:00,6,medium_4_24h,0
205,2018-10-06 16:00:00+00:00,2018-10-06 21:00:00+00:00,6,medium_4_24h,0
305,2019-05-16 15:00:00+00:00,2019-05-16 20:00:00+00:00,6,medium_4_24h,0
339,2019-06-02 18:00:00+00:00,2019-06-02 23:00:00+00:00,6,medium_4_24h,0
597,2021-02-18 13:00:00+00:00,2021-02-18 18:00:00+00:00,6,medium_4_24h,0
781,2023-08-16 04:00:00+00:00,2023-08-16 09:00:00+00:00,6,medium_4_24h,0
341,2019-06-04 17:00:00+00:00,2019-06-04 21:00:00+00:00,5,medium_4_24h,0
