,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,1,1.172967712322648,0.010857228299237081,2.1385967029184534,0.005906681581823574,15.700152078966179,0.24450166774823778,0.9073862600669935,0.000511506556172929
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,6,3.0379114065979502,0.04697370175587497,4.7185626545788715,0.03915139273919843,37.195840832597774,0.6934379691950833,0.5491397186736098,0.007522820662270379
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,12,3.6301196106764317,0.022491311908400917,5.57705871224386,0.027311527387827876,43.02750868411998,0.26662953401485373,0.37025006415521045,0.006174093343965275
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,24,4.015474313946076,0.013601636220100998,6.184724206627788,0.007599318678154532,46.45506801951275,0.22897054037839473,0.22558620210457375,0.0019027728479780416
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,48,4.340702486307049,0.029225415771760705,6.693245525103464,0.027130971267736025,50.45949108565977,0.4697251709366643,0.09398743475159602,0.007343492588969487
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,1,1.677970234758582,0.06798567833237776,2.842463288375394,0.12415456956754078,21.51772720460761,0.5595614633852471,0.8361422257810471,0.01434539920067068
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,6,3.7820448052291247,0.10605860166402421,5.882616286573688,0.21704266835371233,44.44986184079697,0.7542671211806126,0.2985247534214512,0.05117578109883858
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,12,4.093686563927298,0.05661931926718321,6.4049385529163345,0.08917612997399291,47.19258494097993,0.3963551078363592,0.1692953386607877,0.023110306034841058
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,24,4.260697078073556,0.04395135463840908,6.703475056832045,0.08166482244709773,48.844671536072816,0.19725028848631904,0.09012142704495865,0.022176423787754196
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,48,4.344675244530556,0.048975806188393825,6.8655386464144,0.06977945254656816,49.943070382617854,0.37635959251704926,0.046676890231763024,0.019345758843644218
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,1,1.7596816507984663,0.12543215600061025,2.8976545881099143,0.16766931470185042,22.875106601298945,1.3162145795201559,0.8295213684006825,0.019801515073384755
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,6,3.8375652012008965,0.08912919543830873,5.919197512394503,0.21372641697991193,45.183820609862146,0.7916019455236949,0.2898059986603251,0.050748930853094995
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,12,4.156115489104153,0.08352296814687961,6.449085555175069,0.0757712549076327,48.09359023619262,0.8179434031173372,0.15784195470978338,0.019695483115826792
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,24,4.2925552630849815,0.07544466294990242,6.734632325922865,0.059589589278472604,49.42446864535785,0.8808847685125846,0.08169518146143243,0.01624566554106353
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,48,4.340542870616025,0.08423564712435716,6.878071307381491,0.06526816595554197,50.158240526572435,0.9438574048945434,0.043203380919933164,0.01817746834246114
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,1,1.4517816871244458,0.056995034432317175,2.453176935301218,0.07215620927124172,19.856348804275804,0.8799905467880023,0.8780524132470123,0.007223297613121469
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,6,3.02466321756389,0.05889432150993648,4.814610155154286,0.05613261851041662,36.63185116518014,0.691108266879357,0.5305729782260562,0.010928804180904481
