horizon,mean_diff,ci_low,ci_high,station_id,seed
1,-0.38507632036258277,-0.45486100687854253,-0.32038465958494206,MY1,0
6,-0.13742463101609997,-0.1807876057627105,-0.09748793556329292,MY1,0
12,-0.14247194506670424,-0.19335888498268766,-0.08771926462984947,MY1,0
24,-0.03201887776967209,-0.08659238648398938,0.02077283274764282,MY1,0
48,-0.08796930964317796,-0.1575015272499619,-0.018814846519996372,MY1,0
1,-0.9168974691776659,-1.089530254977342,-0.7415918972210945,MY1,1
6,-0.2007560545717402,-0.26111136463779777,-0.13548611955308656,MY1,1
12,-0.04469434246517555,-0.09856861752597254,0.011213808638931231,MY1,1
24,-0.00045742328565989704,-0.0666794314853543,0.058023989343529,MY1,1
48,-0.05987346906906101,-0.11955822362751328,-0.00032265315190355045,MY1,1
1,-1.0115966996305306,-1.2141067878329033,-0.8118801253903684,MY1,2
6,-0.05590254106440585,-0.09547417740284647,-0.012476226307805984,MY1,2
12,-0.0024142842807772335,-0.04427545021176374,0.04001033035296122,MY1,2
24,-0.05184274441645039,-0.10418896623100109,-0.0011269719924527036,MY1,2
48,-0.050592375282784235,-0.11034848461292338,0.014185337351578066,MY1,2
1,-0.7258415502700185,-0.8778059997464512,-0.5994009707614789,MY1,3
6,-0.012348728852424686,-0.0564744230498932,0.032461533585426715,MY1,3
12,-0.010169185319474075,-0.05466419265952779,0.028545387892259317,MY1,3
24,-0.01670016637312899,-0.06236032277731428,0.03323661545441063,MY1,3
48,-0.035769211683871024,-0.09103986305940702,0.01983957999994258,MY1,3
1,-0.8749129966021989,-1.070864345393533,-0.7025380890591286,MY1,4
6,-0.0761508446073581,-0.12760584068240702,-0.021801792038962507,MY1,4
12,-0.035039705254757254,-0.08849077003846556,0.018432349173078368,MY1,4
24,-0.029472938571153167,-0.10207935782388895,0.04302205735224689,MY1,4
48,0.0359114465231968,-0.024402818405478865,0.10385558507831333,MY1,4
1,-1.997397261659691,-2.2074639265333045,-1.8074677995154156,BIR_A4540,0
6,-0.07204803463436618,-0.10767082462447218,-0.0337592060511731,BIR_A4540,0
12,0.0018894397535930342,-0.03540583181064545,0.0396609312862277,BIR_A4540,0
24,0.01813586049057222,-0.02721703150798893,0.062443926990499846,BIR_A4540,0
48,0.054041898913167796,-0.0009575462592967597,0.11083048372585315,BIR_A4540,0
1,-2.0035822777689987,-2.231541050273197,-1.77124507253269,BIR_A4540,1
6,-0.25698056007739983,-0.320531038979687,-0.19535407935252905,BIR_A4540,1
12,-0.07902860343465143,-0.12497713641923751,-0.028979650190960472,BIR_A4540,1
24,-0.03893461805774515,-0.08729050706178987,0.012720408901491823,BIR_A4540,1
48,0.023574533069620738,-0.028162668331015325,0.07760572694115234,BIR_A4540,1
1,-1.9243065073583512,-2.148517624338031,-1.714776320267005,BIR_A4540,2
6,-0.012793298709255397,-0.05099811894777485,0.028994164211783514,BIR_A4540,2
12,-0.06349787420826011,-0.10454956273366363,-0.023004294899160165,BIR_A4540,2
24,-0.044625081059993646,-0.09899683129336952,0.008887044925028991,BIR_A4540,2
48,-0.00805853053944361,-0.06656261826194612,0.053280328080969164,BIR_A4540,2
1,-1.910389271851989,-2.1523669465837556,-1.7118047679218968,BIR_A4540,3
6,-0.3093273778627283,-0.43264022714868133,-0.19984700913017603,BIR_A4540,3
12,-0.11400953849646317,-0.17230281034839087,-0.05939574863429284,BIR_A4540,3
24,-0.06553710830323896,-0.12596243832806928,-0.003978290675295235,BIR_A4540,3
48,-0.06749236342069911,-0.13093794346288049,-0.0024682226695357575,BIR_A4540,3
1,-1.8494080026884254,-2.0850342754471702,-1.6529431873386742,BIR_A4540,4
6,-0.07926454744818885,-0.11898606687045672,-0.04490571791005007,BIR_A4540,4
12,-0.08466251619116974,-0.1220405309481598,-0.045970630252607385,BIR_A4540,4
24,0.017478582232861275,-0.026756115590142137,0.06070500252389416,BIR_A4540,4
48,0.018596334417180813,-0.03416245930558193,0.07797526405942166,BIR_A4540,4
1,-1.7306983285908712,-1.9263766483390996,-1.548733660172877,HP1,0
6,0.009182716994013415,-0.02431919271120619,0.044899425147426494,HP1,0
12,-0.022813218663227133,-0.06074114878217087,0.01660618167542207,HP1,0
24,0.03332559222333699,-0.01005220654406472,0.07896197056607954,HP1,0
48,0.04408458304105783,0.0018118101172622688,0.09096083930718574,HP1,0
1,-1.8471727029629397,-2.0669971489175736,-1.654438323767989,HP1,1
6,-0.047729032748412725,-0.09246751938423659,-0.007210624172071888,HP1,1
12,-0.08061906204149503,-0.13347423856559593,-0.030439280964483163,HP1,1
24,0.039384469401625065,-0.005306168050823261,0.08828567233131945,HP1,1
48,0.029971397676275983,-0.01470211543994535,0.07392437039357976,HP1,1
1,-1.7588065761458205,-1.916087443094059,-1.5789925691449975,HP1,2
6,-0.06483833289031532,-0.10912447979178934,-0.025616220210810305,HP1,2
12,0.011612637258120912,-0.025065411647758086,0.05119019509806308,HP1,2
24,-0.05948239348407087,-0.11299933030452328,-0.005214549862729819,HP1,2
48,0.0074349430115085114,-0.03872150598024649,0.05428209855319629,HP1,2
1,-1.885689551329881,-2.0839698937469597,-1.675391348258559,HP1,3
6,-0.018958659898577902,-0.06318228612005544,0.02472400753285569,HP1,3
12,-0.050045159075090544,-0.09565396396512671,-0.0026116029393513187,HP1,3
24,-0.0594075029323887,-0.10473810182980527,-0.01566739953368082,HP1,3
