horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start,method_version
24,11065,5.087070314061625,7.584546211676791,45.84183836801945,0.1344877822757179,-0.4198111539963301,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
48,11065,5.152433190793405,7.762306617804175,46.316644047089625,0.09361077357915848,-0.5902215975552623,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
1,11065,3.827639601899617,5.4356565616515224,37.21010955408983,0.5569125487582035,-0.39625201998468307,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
6,11065,4.674417706686276,6.982509269130853,42.91709034216836,0.26908844058886294,-1.082710913276587,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
12,11065,4.879497308456459,7.42273054650748,44.24811783962107,0.17307227395275337,-1.026027197881668,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
24,11065,5.033937260674701,7.614125487690427,45.208623345926334,0.1277237266059169,-0.751606064781955,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
48,11065,5.1387662238887915,7.816045314108732,46.021527871812616,0.08101740877027452,-0.8476978208187741,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
1,11065,2.7867206863052316,3.981193899140236,29.066672170529333,0.7623093534469481,-0.06028179025897816,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
6,11065,4.220613294608228,5.9625772858522215,39.927002624196106,0.46702132697654386,0.2822218786334216,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history,gated_residual_v2
